step,time_s,lin_vel_x,lin_vel_y,lin_vel_z,ang_vel_x,ang_vel_y,ang_vel_z,roll,pitch,lon_flap,lat_flap,pos_err_y,norm_state_0,norm_state_1,norm_state_2,norm_state_3,norm_state_4,norm_state_5,norm_state_6,norm_state_7,norm_state_8,norm_state_9,norm_state_10,collective,lateral_cyclic,longitudinal_cyclic,tail_rotor_cyclic
17,0.30000004,-0.02860151,0.00661409,0.8420675,-0.02053732,0.065142445,-0.011097014,-0.0055115987,-0.012608468,-0.0048212875,0.0016432106,0.019563425,-0.028593713,0.0066139936,0.6869026,-0.041051555,0.1295527,-0.022190385,-0.00918574,-0.02101102,-0.009642276,0.0032864094,0.01956093,0.999198,0.16627741,-0.019035572,0.9619473
18,0.31666672,-0.027253874,0.0827627,0.820482,-0.019396203,0.050775908,-0.010140411,-0.0056914343,-0.012927012,-0.0045246496,0.010546274,0.021122016,-0.027247127,0.082574256,0.6753322,-0.03877296,0.10120416,-0.02027804,-0.009485439,-0.021541687,-0.009049052,0.02108942,0.021118876,0.9710613,-0.018891865,0.030544106,0.74923015
19,0.3333334,-0.025779823,0.15892878,0.79735976,-0.012072396,0.038775466,-0.00924266,-0.0058539114,-0.013124499,-0.00159436,0.0064186207,0.02394748,-0.025774114,0.15760407,0.66255814,-0.024140103,0.07739584,-0.018483216,-0.009756209,-0.021870675,-0.0031887093,0.012836536,0.023942903,0.28467295,0.14785326,0.01651584,0.046477545
20,0.35000008,-0.025013518,0.23178437,0.7793039,-0.007615021,0.04095704,-0.00892632,-0.0060116947,-0.013247378,-0.00034168444,0.012625443,0.027984705,-0.025008302,0.22772089,0.65230703,-0.015228865,0.08173136,-0.017850744,-0.010019155,-0.022075376,-0.00068336877,0.025245521,0.027977401,-0.9078034,-0.015420734,-0.00912784,-0.4081696
21,0.36666676,-0.024880052,0.2224757,0.77427053,0.0011526482,0.06727154,-0.008858524,-0.0061741737,-0.013221348,-0.0008817289,0.00781746,0.031865403,-0.02487492,0.21887642,0.64940584,0.0023052923,0.13373709,-0.017715195,-0.010289926,-0.022032013,-0.0017634559,0.015633646,0.031854622,-0.8863805,-0.03461949,-0.08075205,0.1960923
22,0.38333344,-0.025137827,0.07029349,0.77982664,0.006581441,0.097380705,-0.008683578,-0.006340253,-0.013101515,-0.0051670433,0.00337156,0.033209767,-0.025132533,0.07017794,0.6526072,0.013162122,0.19233565,-0.01736541,-0.010566696,-0.021832388,-0.010333719,0.006743018,0.033197563,0.97447735,-0.19139804,-0.14256404,0.9817034
23,0.40000013,-0.025104871,-0.07929081,0.77384746,0.008922803,0.08397041,-0.0076583717,-0.0064861053,-0.012943838,-0.011476453,-0.008297846,0.03205804,-0.025099598,-0.079125054,0.6491611,0.017843712,0.16637956,-0.015315546,-0.010809754,-0.021569718,-0.022948876,-0.016594168,0.032047063,0.9999808,0.089029185,0.018919893,0.99870545
24,0.4166668,-0.022202747,-0.0058850627,0.7547935,0.0031604096,0.069474965,-0.0053812973,-0.006590742,-0.012883602,-0.006945068,-0.0008886587,0.03212447,-0.0221991,-0.0058849948,0.638,0.006320735,0.13806254,-0.010762179,-0.010984128,-0.02146937,-0.013889243,-0.0017773155,0.032113425,0.9994607,0.22639762,0.007336872,0.9865676
25,0.4333335,-0.020136729,0.07056976,0.73367536,0.002543286,0.054848243,-0.004003307,-0.0066692163,-0.012835159,-0.004440221,0.011727778,0.03345969,-0.020134008,0.07045285,0.62530875,0.005086528,0.10925859,-0.008006442,-0.011114902,-0.021388667,-0.008880208,0.023451256,0.03344721,0.97972286,-0.06388199,0.019278431,0.89103043
26,0.45000017,-0.018476875,0.14705795,0.70975703,0.010687578,0.04107744,-0.00312231,-0.006729965,-0.012652453,-0.0020504012,0.004391175,0.036062136,-0.018474773,0.14600694,0.6105244,0.021371901,0.08197054,-0.006244539,-0.011216138,-0.021084296,-0.0041007795,0.008782125,0.036046512,0.41044283,0.19016863,0.031290326,0.33043706
27,0.46666685,-0.017284628,0.2212114,0.6894531,0.013737004,0.03336934,-0.0027154845,-0.006782176,-0.01241975,0.00025628088,0.01318983,0.039893284,-0.017282907,0.21767238,0.59763056,0.027467098,0.06663977,-0.0054309154,-0.0113031445,-0.020696627,0.0005125617,0.026373543,0.039872136,-0.8907885,-0.04914268,0.009581839,-0.383786
28,0.48333353,-0.01672399,0.22722505,0.6787415,0.022896614,0.043597344,-0.0027663335,-0.0068371333,-0.012033196,0.0006540944,0.0059989076,0.043818027,-0.016722431,0.22339353,0.5907006,0.045761246,0.08697438,-0.0055326107,-0.011394728,-0.020052638,0.0013081881,0.01199724,0.043790005,-0.93334675,0.02810095,-0.035189457,-0.19876823
29,0.5000002,-0.016441716,0.077306464,0.6840241,0.027062526,0.072106935,-0.0028961143,-0.0068995506,-0.011573905,-0.001523002,0.0052099777,0.045240182,-0.016440235,0.07715283,0.59412926,0.05407226,0.14322235,-0.005792164,-0.011498744,-0.01928745,-0.0030459948,0.010419578,0.045209344,0.95111907,-0.25662538,-0.1370862,0.9677525
30,0.5166668,-0.016292123,-0.07767214,0.68593144,0.030680565,0.0868422,-0.00259393,-0.006959118,-0.011052539,-0.008587197,-0.010963683,0.044073995,-0.016290681,-0.07751632,0.59536195,0.061284233,0.17195876,-0.0051878137,-0.01159801,-0.018418815,-0.017172707,-0.021923853,0.044045478,0.99996823,0.11642122,-0.033908356,0.9994603
31,0.5333335,-0.013952682,-0.006850762,0.6680662,0.023066891,0.07235586,-0.00089012156,-0.0069870157,-0.010659683,-0.007772897,-0.0015551951,0.044080134,-0.013951777,-0.0068506547,0.5837064,0.046101082,0.14370994,-0.0017802413,-0.011644499,-0.017764268,-0.015544541,-0.0031103801,0.044051606,0.99911934,0.20931119,0.029651202,0.99443793
32,0.55000013,-0.011569671,0.06980633,0.6474413,0.021986896,0.057673976,0.0006521196,-0.0069861873,-0.010286518,-0.003711448,0.010011061,0.045355823,-0.011569155,0.06969316,0.569945,0.04394547,0.114839084,0.0013042385,-0.011643119,-0.017142516,-0.0074227597,0.020019447,0.045324747,0.96542364,-0.02596571,0.014892312,0.9480231
33,0.5666668,-0.0099865375,0.14642495,0.6241609,0.028939024,0.043318864,0.0013885183,-0.0069702608,-0.009799162,-0.0017140554,0.004980287,0.047899157,-0.009986206,0.14538738,0.55401844,0.057813507,0.08642161,0.0027770293,-0.011616578,-0.016330484,-0.0034280973,0.009960244,0.04786256,0.12197425,0.16220315,0.03804578,0.5746897
34,0.58333343,-0.008748302,0.21902819,0.6030332,0.032397557,0.030872298,0.001728609,-0.0069463174,-0.009255621,0.0009310255,0.011754472,0.051643416,-0.008748079,0.21559161,0.5392044,0.06470459,0.06166625,0.0034572042,-0.011576679,-0.01542481,0.0018620489,0.023504613,0.051597554,-0.9393517,-0.025135608,0.01996517,-0.25591412
35,0.6000001,-0.007866653,0.1905971,0.5887584,0.040560383,0.013505472,0.0015438821,-0.006922551,-0.008578051,0.0017576566,0.0060305893,0.05490492,-0.007866491,0.1883222,0.5290021,0.080943294,0.027004376,0.0030877544,-0.011537072,-0.014295776,0.0035152987,0.012060594,0.054849815,-0.7945759,-0.059607703,-0.024943005,-0.3665794
36,0.61666673,-0.007067213,0.034985546,0.5922052,0.0447483,0.032329995,0.0011951413,-0.0069070095,-0.007828519,-0.00013576273,0.00014042901,0.055566058,-0.007067095,0.03497128,0.5314798,0.08925842,0.064570025,0.002390278,-0.011511174,-0.01304679,-0.00027152547,0.00028085802,0.05550894,0.9899943,-0.1678108,-0.112573154,0.9444909
