index,episode_time,steps,noise,episode_reward,avg_critic_loss,avg_actor_loss,evaluation
2339,13.633402,409,0.0010000003,198.2624,1.8095526,36.766357,0
2340,17.500076,525,0.0010000003,194.63383,1.8109534,36.274532,0
2341,15.600095,468,0.0010000003,181.05984,1.752863,36.082115,0
2342,10.166689,305,0.0010000003,81.39339,1.8881798,35.896435,0
2343,30.033218,901,0.0010000003,506.21683,1.7134912,35.739582,0
2344,17.833405,535,0.0010000003,193.94464,1.6588234,34.889606,0
2345,30.033218,901,0.0010000003,557.53156,1.6474738,34.587532,0
2346,30.033218,901,0.0010000002,447.38742,1.798849,33.762165,0
2347,7.9666605,239,0.0010000002,91.79202,1.6891532,32.90024,0
2348,10.666696,320,0.0010000002,157.50787,1.6910751,32.618538,0
2349,18.266731,548,0.0010000002,270.7429,1.7087202,32.73762,0
2350,14.000073,420,0,163.69624,0,0,1
2351,14.533414,436,0.0010000002,164.94939,1.6610767,32.360935,0
2352,22.599998,678,0.0010000002,302.17804,1.8107966,31.835154,0
2353,18.400063,552,0.0010000002,191.77988,1.6444274,31.602514,0
2354,30.033218,901,0.0010000002,363.89563,1.8079519,30.655003,0
2355,30.033218,901,0.0010000002,449.57288,1.7987478,30.234568,0
2356,30.033218,901,0.0010000002,348.04724,1.7499061,29.979,0
2357,30.033218,901,0.0010000002,531.945,1.7330998,29.506771,0
2358,30.033218,901,0.0010000002,452.16714,1.6676984,29.018545,0
2359,30.033218,901,0.0010000002,649.00714,1.8543651,28.531536,0
2360,30.033218,901,0.0010000002,597.94183,1.823445,28.19486,0
2361,9.433346,283,0.0010000002,110.35914,1.8220552,27.766527,0
2362,20.433365,613,0.0010000002,243.09175,1.8659952,27.714878,0
2363,19.600044,588,0.0010000002,325.43045,1.9059114,26.857355,0
2364,13.600068,408,0.0010000002,165.08763,1.9339641,27.22586,0
2365,3.833331,115,0.0010000002,-7.4468675,1.6359398,25.986147,0
2366,13.333398,400,0.0010000002,158.37343,1.8935814,26.615473,0
2367,13.133395,394,0.0010000002,129.55978,1.939514,26.254387,0
2368,16.666756,500,0.0010000002,202.80156,1.9351864,26.006678,0
2369,17.06675,512,0.0010000002,261.9212,1.9812374,25.283262,0
2370,14.833418,445,0.0010000002,262.2805,2.0076516,25.206587,0
2371,9.73335,292,0.0010000002,140.37384,1.8784,24.865253,0
2372,30.033218,901,0.0010000002,415.40347,1.9397961,24.691235,0
2373,6.499995,195,0.0010000002,82.370346,1.776961,24.038721,0
2374,16.200096,486,0.0010000002,262.65506,1.8850749,23.755657,0
2375,15.933433,478,0,268.87866,0,0,1
2376,20.566696,617,0.0010000002,335.39835,2.00884,23.318129,0
2377,9.566681,287,0.0010000002,122.48132,1.967703,22.989376,0
2378,9.400012,282,0.0010000002,139.23874,2.018445,22.910362,0
2379,5.9666624,179,0.0010000002,87.34772,1.7826412,22.961979,0
2380,4.4333305,133,0.0010000002,3.5068588,1.691261,22.322287,0
2381,11.966713,359,0.0010000002,145.88232,2.113048,22.56751,0
2382,10.033354,301,0.0010000002,113.69004,1.7766937,22.335022,0
2383,20.166702,605,0.0010000002,351.95047,1.8330846,22.007318,0
2384,11.833378,355,0.0010000002,170.99629,2.010452,21.451414,0
2385,7.599994,228,0.0010000002,85.22395,1.7473668,21.130762,0
2386,11.200036,336,0.0010000002,109.473785,1.938868,21.454306,0
2387,21.80001,654,0.0010000002,251.85397,1.8534794,20.8891,0
2388,20.400032,612,0.0010000002,286.01596,1.9257896,21.240082,0
2389,12.46672,374,0.0010000002,137.34962,1.972668,20.520655,0
2390,14.333411,430,0.0010000002,224.49811,1.8456314,20.531061,0
2391,16.266762,488,0.0010000002,263.7156,2.01201,20.752645,0
2392,22.03334,661,0.0010000002,397.3956,1.9312795,20.758879,0
2393,19.06672,572,0.0010000002,323.42023,2.0555742,20.368587,0
2394,6.0999956,183,0.0010000002,49.71589,2.0483623,19.766544,0
2395,7.133328,214,0.0010000002,62.509773,1.7464496,20.041718,0
2396,21.600014,648,0.0010000002,388.9543,1.9357017,20.27199,0
2397,8.866672,266,0.0010000002,62.298847,1.6095278,19.998936,0
2398,15.666762,470,0.0010000002,184.9703,1.8188125,19.655523,0
2399,15.666762,470,0.0010000002,156.17432,2.0301352,19.511875,0
2400,23.466652,704,0,362.59335,0,0,1
2401,9.000007,270,0.0010000002,51.686447,1.9991717,19.052094,0
2402,9.133342,274,0.0010000002,81.64118,2.376266,19.062922,0
2403,15.300091,459,0.0010000002,228.09651,2.0063267,19.346542,0
2404,17.933403,538,0.0010000002,258.06018,2.021851,19.14799,0
2405,19.20005,576,0.0010000002,286.44016,2.0931273,18.925379,0
2406,29.23323,877,0.0010000002,537.2915,1.9757029,18.666067,0
2407,30.033218,901,0.0010000002,472.08917,2.0049138,18.6716,0
2408,11.866712,356,0.0010000002,149.65013,1.8268508,18.035273,0
2409,11.900045,357,0.0010000002,104.373825,2.095571,18.142275,0
2410,16.200096,486,0.0010000002,236.49464,2.316149,18.097994,0
2411,30.033218,901,0.0010000002,596.9534,2.2545395,17.66241,0
2412,30.033218,901,0.0010000002,615.1028,2.1992996,17.428219,0
2413,22.599998,678,0.0010000002,368.24158,2.0834904,17.324942,0
2414,19.866707,596,0.0010000002,298.37448,2.450072,17.04017,0
2415,13.26673,398,0.0010000002,193.39032,2.019994,16.793982,0
2416,30.033218,901,0.0010000002,517.0507,2.4015348,16.524284,0
2417,30.033218,901,0.0010000002,593.12714,2.315349,16.19163,0
2418,30.033218,901,0.0010000002,696.92615,2.4442396,16.223911,0
2419,30.033218,901,0.0010000002,600.52185,2.5431511,16.361088,0
2420,30.033218,901,0.0010000002,625.5385,2.366935,16.125135,0
2421,30.033218,901,0.0010000002,627.57263,2.6463363,16.31902,0
2422,30.033218,901,0.0010000002,641.724,2.3165767,16.280575,0
2423,30.033218,901,0.0010000002,611.3756,2.2264876,16.433458,0
2424,24.6333,739,0.0010000002,370.76727,2.65947,16.937374,0
2425,21.56668,647,0,362.2012,0,0,1
2426,23.866646,716,0.0010000002,401.64227,2.265672,16.623226,0
2427,30.033218,901,0.0010000002,666.0516,2.2898982,17.158867,0
2428,18.900055,567,0.0010000002,313.5491,2.1588,16.989532,0
2429,20.50003,615,0.0010000002,369.8492,2.3553214,17.324476,0
2430,19.400047,582,0.0010000002,283.8263,2.2847517,17.55328,0
2431,24.099976,723,0.0010000002,330.77554,2.2706213,17.783598,0
2432,22.699997,681,0.0010000002,384.18054,2.0880268,17.963755,0
2433,24.26664,728,0.0010000002,414.6222,2.2158391,18.118046,0
2434,8.166662,245,0.0010000002,73.88101,2.012257,18.567812,0
2435,7.8333273,235,0.0010000002,41.26194,2.2780557,18.241398,0
2436,16.36676,491,0.0010000002,223.77249,1.9723971,18.09407,0
2437,21.533348,646,0.0010000002,300.38306,2.123142,18.185028,0
2438,9.900019,297,0.0010000002,148.94215,1.8830731,18.261242,0
2439,7.233328,217,0.0010000002,28.091103,2.5541255,18.230452,0
2440,15.300091,459,0.0010000002,244.97261,2.5300515,18.341034,0
2441,8.566668,257,0.0010000002,52.13019,2.1040561,18.876007,0
2442,13.600068,408,0.0010000002,165.91608,2.35302,18.503946,0
2443,14.366745,431,0.0010000002,175.38832,2.4095902,18.5853,0
2444,13.100061,393,0.0010000002,158.44064,2.494885,18.385736,0
2445,17.133415,514,0.0010000002,270.2535,2.3155518,18.487116,0
2446,8.166662,245,0.0010000002,90.379425,1.9621621,18.484282,0
2447,7.033328,211,0.0010000002,63.495575,2.2952836,18.782293,0
2448,13.733403,412,0.0010000002,202.61685,2.4938784,18.275566,0
2449,8.733336,262,0.0010000002,59.225002,2.1009367,19.15302,0
2450,13.233397,397,0,206.08276,0,0,1
2451,16.233429,487,0.0010000002,299.52994,2.4790952,18.794771,0
2452,7.933327,238,0.0010000002,75.000565,2.3565845,18.209707,0
2453,14.23341,427,0.0010000002,202.8947,2.1846998,18.952791,0
2454,20.466698,614,0.0010000002,272.83032,2.463589,18.576616,0
2455,7.266661,218,0.0010000002,44.64784,2.6383307,19.218042,0
2456,11.933379,358,0.0010000002,127.708626,2.0782855,18.895306,0
2457,13.96674,419,0.0010000002,180.42671,2.5116756,19.268349,0
2458,9.333344,280,0.0010000002,96.33345,2.2793384,19.606419,0
2459,8.800004,264,0.0010000002,74.42923,2.7764897,19.136251,0
2460,14.133409,424,0.0010000002,149.04733,2.23887,19.06227,0
2461,4.2999973,129,0.0010000002,52.24148,3.1007967,19.637707,0
2462,17.933403,538,0.0010000002,259.71426,2.9331813,18.952705,0
2463,9.500013,285,0.0010000002,112.359886,2.4156303,19.01042,0
2464,11.800044,354,0.0010000002,150.67711,2.3584466,18.496489,0
2465,4.9666634,149,0.0010000002,31.534632,2.2167509,19.096674,0
2466,13.933406,418,0.0010000002,193.60864,2.3618064,18.56633,0
2467,15.433426,463,0.0010000002,220.85583,2.3717432,18.762901,0
2468,8.266664,248,0.0010000002,72.02842,2.2797544,18.778973,0
2469,17.500076,525,0.0010000002,275.6213,2.332478,18.853529,0
2470,30.033218,901,0.0010000002,484.4862,2.3304365,19.008963,0
2471,30.033218,901,0.0010000002,635.4062,2.5430317,19.101925,0
2472,23.43332,703,0.0010000002,310.20096,2.2083697,19.159428,0
2473,7.699994,231,0.0010000002,108.69466,2.8107255,19.944092,0
2474,22.300003,669,0.0010000002,370.26486,2.1781933,19.514904,0
2475,30.033218,901,0,577.4654,0,0,1
2476,19.300049,579,0.001,271.2671,2.2628884,20.557646,0
2477,23.133324,694,0.001,293.14838,2.5890365,20.439281,0
2478,30.033218,901,0.001,589.018,2.395536,20.565487,0
2479,17.733406,532,0.001,301.13626,2.4604297,21.157732,0
2480,17.833405,535,0.001,271.18954,2.3780546,21.376856,0
2481,27.09993,813,0.001,462.10388,2.3546324,21.631622,0
2482,14.133409,424,0.001,236.09163,2.520935,22.681288,0
2483,30.033218,901,0.001,529.9249,2.2243006,22.260698,0
2484,10.666696,320,0.001,129.9359,1.9687974,22.164238,0
2485,12.533387,376,0.001,129.5327,2.239373,22.486544,0
2486,9.333344,280,0.001,113.805626,1.993269,22.154724,0
